date,Open,High,Low,Weekday,Close
2012-11-27,1.6026,1.6056,1.6008,Tuesday,1.6023
2012-11-26,1.6031,1.6038,1.5994,Monday,1.6026
2012-11-23,1.5932,1.6051,1.5925,Friday,1.6031
2012-11-22,1.595,1.5978,1.5916,Thursday,1.594
2012-11-21,1.5924,1.5955,1.5881,Wednesday,1.5951
2012-11-20,1.5907,1.5936,1.5889,Tuesday,1.5924
2012-11-19,1.5885,1.5924,1.5879,Monday,1.5908
2012-11-16,1.5864,1.5901,1.5834,Friday,1.5881
2012-11-15,1.584,1.5879,1.5826,Thursday,1.5862
2012-11-14,1.5868,1.5901,1.5836,Wednesday,1.5839
2012-11-13,1.5877,1.5916,1.5857,Tuesday,1.5869
2012-11-12,1.5901,1.5915,1.5862,Monday,1.5875
2012-11-09,1.5982,1.6019,1.5886,Friday,1.5892
2012-11-08,1.5978,1.6004,1.5928,Thursday,1.598
2012-11-07,1.5994,1.6042,1.5953,Wednesday,1.5986
2012-11-06,1.5977,1.6008,1.5964,Tuesday,1.5994
2012-11-05,1.6008,1.6039,1.5956,Monday,1.5977
2012-11-02,1.6123,1.6133,1.6004,Friday,1.6031
2012-11-01,1.6129,1.6175,1.6117,Thursday,1.6123
2012-10-31,1.6078,1.6139,1.6065,Wednesday,1.6128
2012-10-30,1.6028,1.6086,1.6019,Tuesday,1.6077
2012-10-29,1.6093,1.6099,1.6005,Monday,1.6027
2012-10-26,1.6119,1.6141,1.608,Friday,1.6091
2012-10-25,1.6036,1.6143,1.6024,Thursday,1.6119
2012-10-24,1.595,1.6048,1.5934,Wednesday,1.604
2012-10-23,1.6012,1.6024,1.5912,Tuesday,1.595
2012-10-22,1.6007,1.6052,1.5988,Monday,1.6012
2012-10-19,1.6047,1.6067,1.5996,Friday,1.5996
2012-10-18,1.6139,1.6171,1.6037,Thursday,1.6047
2012-10-17,1.6119,1.6178,1.6109,Wednesday,1.6141
2012-10-16,1.6071,1.6134,1.6058,Tuesday,1.612
2012-10-15,1.6078,1.6081,1.6018,Monday,1.6071
2012-10-12,1.6047,1.6097,1.6016,Friday,1.607
2012-10-11,1.6,1.6054,1.5983,Thursday,1.6047
2012-10-10,1.6001,1.6034,1.5975,Wednesday,1.6001
2012-10-09,1.6022,1.6046,1.5973,Tuesday,1.6001
2012-10-08,1.6134,1.6139,1.6018,Monday,1.6019
2012-10-05,1.6191,1.6216,1.612,Friday,1.613
2012-10-04,1.608,1.6202,1.6075,Thursday,1.6191
2012-10-03,1.613,1.614,1.6065,Wednesday,1.6079
2012-10-02,1.6131,1.6187,1.6123,Tuesday,1.6129
2012-10-01,1.6124,1.6174,1.6107,Monday,1.6129
2012-09-28,1.6234,1.6272,1.6112,Friday,1.616
2012-09-27,1.6167,1.6243,1.6163,Thursday,1.6234
2012-09-26,1.6193,1.6209,1.6136,Wednesday,1.6167
2012-09-25,1.6221,1.6268,1.618,Tuesday,1.6192
2012-09-24,1.6242,1.6247,1.618,Monday,1.6221
2012-09-21,1.6215,1.6309,1.6211,Friday,1.6219
2012-09-20,1.622,1.6236,1.6161,Thursday,1.6214
2012-09-19,1.6238,1.6271,1.6183,Wednesday,1.622
2012-09-18,1.6247,1.6267,1.6219,Tuesday,1.624
2012-09-17,1.6228,1.6273,1.6208,Monday,1.6246
