Open,High,Low,Weekday,Close
1.2718,1.2819,1.2669,Thursday,1.2675
1.5714,1.5777,1.565,Wednesday,1.5704
1.3039,1.3053,1.2977,Thursday,1.2988
1.3198,1.3273,1.3185,Tuesday,1.3245
1.3401,1.3457,1.3396,Thursday,1.3429
1.4856,1.4936,1.4734,Monday,1.4754
1.4779,1.4935,1.4755,Friday,1.4919
1.5955,1.6169,1.5941,Thursday,1.6159
1.2733,1.2777,1.2674,Wednesday,1.2721
1.5235,1.5264,1.5086,Tuesday,1.5134
1.5368,1.5415,1.5339,Monday,1.5381
1.1511,1.1599,1.1427,Tuesday,1.1539
1.2743,1.2752,1.2568,Thursday,1.2586
1.5179,1.5235,1.5074,Friday,1.5149
1.9941,1.9974,1.9925,Monday,1.9929
1.332,1.3408,1.327,Wednesday,1.3405
1.2391,1.2417,1.2336,Monday,1.235
1.3752,1.3775,1.3732,Monday,1.3755
1.4919,1.4981,1.4868,Monday,1.4887
1.5698,1.5715,1.5688,Monday,1.5703
1.6118,1.6177,1.6089,Wednesday,1.6105
1.4185,1.4201,1.4098,Wednesday,1.4114
1.5254,1.5277,1.5162,Friday,1.5165
1.2297,1.2332,1.225,Wednesday,1.2289
1.523,1.5309,1.5149,Tuesday,1.5276
1.3056,1.3133,1.3049,Friday,1.3071
2.0301,2.0365,2.0261,Friday,2.0342
1.5553,1.5688,1.5525,Monday,1.5656
1.6352,1.6467,1.633,Wednesday,1.6332
1.3,1.3058,1.2988,Monday,1.3023
1.454,1.4623,1.4522,Thursday,1.4607
1.5688,1.5735,1.5669,Wednesday,1.5692
1.3823,1.3895,1.3765,Tuesday,1.3878
1.6276,1.6346,1.625,Thursday,1.6333
1.974,1.9762,1.9675,Wednesday,1.973
1.6982,1.6993,1.6933,Tuesday,1.6943
1.4262,1.4278,1.41,Friday,1.412
1.5584,1.5633,1.554,Friday,1.5569
1.3257,1.3347,1.3234,Monday,1.3335
1.8359,1.8406,1.8293,Tuesday,1.8406
1.4565,1.4611,1.4431,Friday,1.4463
1.317,1.3176,1.3084,Wednesday,1.3114
1.955,1.959,1.9487,Wednesday,1.954
1.6642,1.6664,1.6604,Monday,1.6634
2.0212,2.0397,2.0156,Wednesday,2.037
1.3154,1.3198,1.3034,Thursday,1.3055
1.4086,1.4097,1.3964,Thursday,1.4003
1.2269,1.2332,1.2236,Monday,1.2265
1.2333,1.2506,1.2326,Friday,1.2505
1.5534,1.5609,1.5429,Monday,1.5487
1.8057,1.8092,1.791,Thursday,1.7931
1.5359,1.5398,1.4808,Monday,1.488
1.6182,1.6256,1.6182,Tuesday,1.6191
1.2529,1.2639,1.249,Wednesday,1.2632
1.3031,1.308,1.2967,Friday,1.3049
1.4,1.4158,1.3995,Monday,1.4119
1.3245,1.3273,1.3149,Tuesday,1.3171
1.6012,1.6018,1.5958,Monday,1.5985
1.3175,1.3199,1.3097,Tuesday,1.3147
1.2278,1.2315,1.2159,Wednesday,1.2262
1.3734,1.3812,1.3715,Wednesday,1.3776
1.2522,1.2526,1.2407,Thursday,1.2479
1.5956,1.6197,1.5752,Wednesday,1.591
1.2699,1.2744,1.2678,Wednesday,1.269
1.488,1.4883,1.3226,Friday,1.3675
1.7423,1.7453,1.731,Tuesday,1.7416
1.8714,1.8737,1.8597,Thursday,1.864
1.8964,1.8996,1.8762,Monday,1.8791
2.0084,2.0184,2.007,Monday,2.017
1.2866,1.2903,1.284,Wednesday,1.2892
1.5597,1.5781,1.558,Wednesday,1.5765
1.6263,1.6472,1.6261,Wednesday,1.639
1.3182,1.3227,1.3157,Monday,1.3204
1.9705,1.9728,1.9543,Thursday,1.9587
1.2895,1.2922,1.2839,Wednesday,1.2915
1.417,1.4249,1.4107,Friday,1.4226
1.8393,1.8416,1.8243,Tuesday,1.8266
1.2439,1.2471,1.2369,Tuesday,1.2376
1.2458,1.2561,1.2425,Thursday,1.2552
1.424,1.4345,1.4082,Thursday,1.4108
1.3103,1.325,1.3099,Tuesday,1.3244
1.6047,1.6067,1.5996,Friday,1.5996
1.2928,1.2982,1.292,Wednesday,1.2972
1.7588,1.7664,1.7572,Wednesday,1.7639
1.9285,1.9447,1.9277,Friday,1.9386
1.242,1.2499,1.2402,Tuesday,1.2487
1.7417,1.7435,1.737,Friday,1.7389
1.3475,1.3478,1.3369,Tuesday,1.3418
1.7162,1.7162,1.7109,Monday,1.7131
1.4908,1.4944,1.4904,Friday,1.4925
1.7435,1.7494,1.7391,Tuesday,1.7481
1.254,1.2568,1.2374,Thursday,1.2422
1.2377,1.2414,1.2262,Tuesday,1.233
1.3135,1.3226,1.3133,Tuesday,1.3203
2.0488,2.0489,2.023,Friday,2.024
1.3807,1.3913,1.3803,Thursday,1.3893
1.8954,1.9008,1.882,Thursday,1.8856
1.2051,1.2153,1.2045,Thursday,1.211
1.8314,1.864,1.8265,Monday,1.8579
1.634,1.6562,1.6304,Friday,1.6492
1.3704,1.3758,1.3654,Monday,1.3658
1.6043,1.6115,1.6041,Wednesday,1.6079
1.536,1.5372,1.5248,Wednesday,1.5264
